scenario_id,label,note
G01,fail,"fail: citation; quote calibration không khớp verbatim với section s54 và answer có thêm claim chưa được chứng minh rõ"
G02,pass,"pass: answer đúng intent, citation hợp lệ, follow-up phù hợp"
G03,fail,"fail: citation; quote s40 không khớp verbatim dù nội dung so sánh phù hợp"
G04,pass,"pass: phân biệt offline eval/online monitoring và thời điểm triển khai đúng, citation hợp lệ"
G05,fail,"fail: ambiguity; chưa làm rõ nghĩa của chấm bằng máy trước khi kết luận, đồng thời quote s32 không khớp verbatim"
G06,fail,"fail: citation; quote s53 không khớp verbatim"
G07,fail,"fail: citation; quote s25 không khớp verbatim"
G08,pass,"pass: nhận diện out-of-scope, từ chối lịch sự và gợi ý chủ đề liên quan"
G09,pass,"pass: nhận diện out-of-scope, từ chối dứt khoát và follow-up phù hợp"
G10,fail,"fail: schema/format; output bị truncated và không parse được thành JSON"
G11,fail,"fail: answer chưa hướng dẫn công thức/code Cohen's Kappa như yêu cầu, đồng thời quote s55 không khớp verbatim"
G12,fail,"fail: citation; quote common-categories-for-llm-judge-evals không khớp verbatim"
G13,fail,"fail: citation; quote s46 không khớp verbatim"
G14,pass,"pass: xác định đúng nội dung LoRA ngoài scope, từ chối phần hướng dẫn kỹ thuật và gợi ý liên quan"
G15,pass,"pass: xác định đúng nội dung thanh toán ngoài scope và không đưa code thanh toán"
G16,fail,"fail: scope; câu hỏi có thể trả lời dựa trên các khái niệm trong corpus nhưng tutor gán out-of-scope và không sửa giả định sai"
G17,fail,"fail: scope; không trực tiếp sửa giả định về G-Eval theo expected behavior, chỉ từ chối vì không thấy thuật ngữ trong corpus"
G18,fail,"fail: citation; quote s40 không khớp verbatim"
G19,fail,"fail: citation; quote s36 không khớp verbatim"
G20,fail,"fail: ambiguity/scope; cần hỏi lại bài học và định dạng test set nhưng tutor vội gán out-of-scope"
G21,fail,"fail: citation; quote s56 không khớp verbatim"
G22,pass,"pass: sửa đúng nhận định sai về Cohen Kappa và đưa hướng calibration phù hợp"
G23,pass,"pass: nhận diện câu hỏi mơ hồ, nêu rõ giới hạn corpus và hỏi thêm context"
G24,pass,"pass: từ chối đúng câu hỏi ngoài scope và gợi ý chủ đề liên quan"
