scenario_id,input,scope,answer,sources,followup_questions,retrieved_count,retrieved_sections,latency_s,prompt_tokens,completion_tokens,total_tokens,cost_usd,raw_content
G01,Calibration là gì thế bot?,in_scope,"Calibration (hiệu chỉnh) là một quy trình lặp đi lặp lại nhằm đảm bảo rằng các đánh giá của hệ thống AI phản ánh chính xác quan điểm của các chuyên gia trong lĩnh vực. Nó không chỉ là một phép tính đơn lẻ mà bao gồm các bước như gán nhãn, chạy thử, đo lường và tinh chỉnh để cải thiện độ chính xác của hệ thống.","ai-evals-m09#lesson-1-the-calibration-workflow: ""Calibration is not a one-time calculation. It's an iterative loop: label, run, measure, read disagreements, refine the prompt, measure again."" | ai-evals-m09#why-calibration-is-the-whole-game: ""An uncalibrated judge is worse than no judge.""",Tại sao việc hiệu chỉnh lại quan trọng trong đánh giá hệ thống AI? | Có những phương pháp nào để thực hiện hiệu chỉnh cho hệ thống AI? | Làm thế nào để xác định một hệ thống AI đã được hiệu chỉnh tốt hay chưa?,5,ai-evals-m09#lesson-1-the-calibration-workflow; ai-evals-m09#why-calibration-is-the-whole-game; ai-evals-m09#course-outline; slide-day19-20#s51; ai-evals-m09#when-automation-can-t-reach-the-quality-bar,5.17,3000,298,3298,0.0006288,"{
  ""scope"": ""in_scope"",
  ""answer"": ""Calibration (hiệu chỉnh) là một quy trình lặp đi lặp lại nhằm đảm bảo rằng các đánh giá của hệ thống AI phản ánh chính xác quan điểm của các chuyên gia trong lĩnh vực. Nó không chỉ là một phép tính đơn lẻ mà bao gồm các bước như gán nhãn, chạy thử, đo lường và tinh chỉnh để cải thiện độ chính xác của hệ thống."",
  ""sources"": [
    {
      ""doc_id"": ""ai-evals-m09"",
      ""section_id"": ""lesson-1-the-calibration-workflow"",
      ""quote"": ""Calibration is not a one-time calculation. It's an iterative loop: label, run, measure, read disagreements, refine the prompt, measure again.""
    },
    {
      ""doc_id"": ""ai-evals-m09"",
      ""section_id"": ""why-calibration-is-the-whole-game"",
      ""quote"": ""An uncalibrated judge is worse than no judge.""
    }
  ],
  ""followup_questions"": [
    ""Tại sao việc hiệu chỉnh lại quan trọng trong đánh giá hệ thống AI?"",
    ""Có những phương pháp nào để thực hiện hiệu chỉnh cho hệ thống AI?"",
    ""Làm thế nào để xác định một hệ thống AI đã được hiệu chỉnh tốt hay chưa?""
  ]
}"
G02,giải thích giúp em trace codes với ạ,in_scope,"Trace codes là các nhóm mã hóa được tạo ra từ việc phân tích các mẫu hành vi thành công hoặc thất bại trong quá trình đánh giá. Chúng giúp chuẩn hóa ngôn ngữ trong đội ngũ, đảm bảo mọi người đều hiểu và nói về cùng một vấn đề với cùng một thuật ngữ. Mỗi trace code có tên ngắn gọn, định nghĩa rõ ràng và tiêu chí đánh giá cụ thể.","ai-evals-m04#step-3-cluster-into-trace-codes: ""You now cluster your notes into trace codes: Groups of similar success or failure patterns."" | slide-day19-20#s35: ""Trace codes — ngôn ngữ chung của team""",Trace codes có thể được áp dụng như thế nào trong các dự án AI cụ thể? | Có những ví dụ nào khác về trace codes trong các lĩnh vực khác không? | Tại sao việc chuẩn hóa ngôn ngữ trong đội ngũ lại quan trọng trong đánh giá AI?,5,ai-evals-m04#step-3-cluster-into-trace-codes; slide-day19-20#s35; ai-evals-m04#course-outline; ai-evals-m04#lesson-2-the-trace-analysis-workflow-generating-codes; slide-day19-20#s65,5.02,3548,295,3843,0.0007092,"{
  ""scope"": ""in_scope"",
  ""answer"": ""Trace codes là các nhóm mã hóa được tạo ra từ việc phân tích các mẫu hành vi thành công hoặc thất bại trong quá trình đánh giá. Chúng giúp chuẩn hóa ngôn ngữ trong đội ngũ, đảm bảo mọi người đều hiểu và nói về cùng một vấn đề với cùng một thuật ngữ. Mỗi trace code có tên ngắn gọn, định nghĩa rõ ràng và tiêu chí đánh giá cụ thể."",
  ""sources"": [
    {
      ""doc_id"": ""ai-evals-m04"",
      ""section_id"": ""step-3-cluster-into-trace-codes"",
      ""quote"": ""You now cluster your notes into trace codes: Groups of similar success or failure patterns.""
    },
    {
      ""doc_id"": ""slide-day19-20"",
      ""section_id"": ""s35"",
      ""quote"": ""Trace codes — ngôn ngữ chung của team""
    }
  ],
  ""followup_questions"": [
    ""Trace codes có thể được áp dụng như thế nào trong các dự án AI cụ thể?"",
    ""Có những ví dụ nào khác về trace codes trong các lĩnh vực khác không?"",
    ""Tại sao việc chuẩn hóa ngôn ngữ trong đội ngũ lại quan trọng trong đánh giá AI?""
  ]
}"
G03,Code-based eval khác LLM-as-a-judge chỗ nào vậy ạ? Khi nào trong pipeline nên dùng code-based hơn?,in_scope,"Sự khác biệt giữa đánh giá code-based và LLM-as-Judge nằm ở cách thức và mục đích sử dụng. Đánh giá code-based là phương pháp nhanh, rẻ và có thể tái lập 100%, thích hợp cho các kiểm tra có quy tắc rõ ràng. Ngược lại, LLM-as-Judge được sử dụng khi cần đánh giá các tiêu chí chủ quan như sắc thái ngôn ngữ hay ngữ cảnh mà không thể viết thành quy tắc rõ ràng. Bạn nên ưu tiên sử dụng code-based khi có thể kiểm tra bằng code, và chỉ chuyển sang LLM khi cần đánh giá các yếu tố chủ quan.","ai-evals-m05#choosing-the-automation-method-code-based-vs-llm-as-judge: ""The default path should always be code-based evaluation because it's faster, cheaper, and 100% reproducible (deterministic)."" | slide-day19-20#s40: ""Nếu có thể kiểm tra bằng code — hãy dùng code trước."" | ai-evals-m05#key-takeaways-and-definitions: ""Only use the llm-as-judge approach when a metric requires subjective nuance.""",Bạn có thể nêu ví dụ cụ thể về khi nào nên sử dụng LLM-as-Judge không? | Có những tiêu chí nào thường được đánh giá bằng LLM-as-Judge? | Làm thế nào để xác định được khoảng cách tổng quát cần tự động hóa trong quy trình đánh giá?,10,ai-evals-m05#choosing-the-automation-method-code-based-vs-llm-as-judge; slide-day19-20#s37; slide-day19-20#s40; ai-evals-m07#key-takeaways-and-definitions; ai-evals-m07#reference-free-vs-reference-based-judges; ai-evals-m05#key-takeaways-and-definitions; anthropic-demystifying-evals#computer-use-agents; ai-evals-m05#choosing-the-automation-method-code-based-vs-llm-as-judge; ai-evals-m11#key-takeaways-and-definitions; ai-evals-m06#lesson-1-writing-and-scaling-code-based-evals,6.86,5608,457,6065,0.0011154,"{
  ""scope"": ""in_scope"",
  ""answer"": ""Sự khác biệt giữa đánh giá code-based và LLM-as-Judge nằm ở cách thức và mục đích sử dụng. Đánh giá code-based là phương pháp nhanh, rẻ và có thể tái lập 100%, thích hợp cho các kiểm tra có quy tắc rõ ràng. Ngược lại, LLM-as-Judge được sử dụng khi cần đánh giá các tiêu chí chủ quan như sắc thái ngôn ngữ hay ngữ cảnh mà không thể viết thành quy tắc rõ ràng. Bạn nên ưu tiên sử dụng code-based khi có thể kiểm tra bằng code, và chỉ chuyển sang LLM khi cần đánh giá các yếu tố chủ quan."",
  ""sources"": [
    {
      ""doc_id"": ""ai-evals-m05"",
      ""section_id"": ""choosing-the-automation-method-code-based-vs-llm-as-judge"",
      ""quote"": ""The default path should always be code-based evaluation because it's faster, cheaper, and 100% reproducible (deterministic).""
    },
    {
      ""doc_id"": ""slide-day19-20"",
      ""section_id"": ""s40"",
      ""quote"": ""Nếu có thể kiểm tra bằng code — hãy dùng code trước.""
    },
    {
      ""doc_id"": ""ai-evals-m05"",
      ""section_id"": ""key-takeaways-and-definitions"",
      ""quote"": ""Only use the llm-as-judge approach when a metric requires subjective nuance.""
    }
  ],
  ""followup_questions"": [
    ""Bạn có thể nêu ví dụ cụ thể về khi nào nên sử dụng LLM-as-Judge không?"",
    ""Có những tiêu chí nào thường được đánh giá bằng LLM-as-Judge?"",
    ""Làm thế nào để xác định được khoảng cách tổng quát cần tự động hóa trong quy trình đánh giá?""
  ]
}"
G04,Cho mình hỏi offline eval với online monitoring khác nhau gì và thời điểm nào thì bắt đầu triển khai online monitoring?,in_scope,"Offline evals và online monitoring có sự khác biệt rõ rệt. Offline evals chỉ kiểm tra những gì bạn đã biết để tìm kiếm, trong khi online monitoring theo dõi hiệu suất thực tế trong thời gian thực, giúp phát hiện các vấn đề mới mà bạn chưa lường trước. Bạn nên triển khai online monitoring ngay khi sản phẩm của bạn có lưu lượng truy cập thực tế để theo dõi và điều chỉnh kịp thời.","ai-evals-m11#key-takeaways-and-definitions: ""Offline evals test what you know. Online monitoring reveals what you don't."" | ai-evals-m02#lesson-4-stage-3-user-monitoring-optimize: ""Online monitoring is real-time tracking of production performance, including A/B testing."" | ai-evals-m05#starting-small-scaling-deliberately: ""Online monitoring becomes critical once you have production traffic.""",Bạn có thể nêu ví dụ về các chỉ số nào nên theo dõi trong online monitoring không? | Khi nào thì bạn nên cập nhật dataset dựa trên kết quả từ online monitoring? | Sự khác biệt giữa offline evals và online monitoring có ảnh hưởng như thế nào đến quy trình phát triển sản phẩm của bạn?,10,ai-evals-m02#lesson-4-stage-3-user-monitoring-optimize; ai-evals-m11#key-takeaways-and-definitions; ai-evals-m11#case-study-online-monitoring-for-the-support-triage-agent; ai-evals-m11#intro; anthropic-demystifying-evals#appendix-eval-frameworks; ai-evals-m02#lesson-4-stage-3-user-monitoring-optimize; ai-evals-m11#case-study-online-monitoring-for-the-support-triage-agent; ai-evals-m11#key-takeaways-and-definitions; ai-evals-m11#intro; ai-evals-m05#starting-small-scaling-deliberately,5.94,5682,394,6076,0.0010887,"{
  ""scope"": ""in_scope"",
  ""answer"": ""Offline evals và online monitoring có sự khác biệt rõ rệt. Offline evals chỉ kiểm tra những gì bạn đã biết để tìm kiếm, trong khi online monitoring theo dõi hiệu suất thực tế trong thời gian thực, giúp phát hiện các vấn đề mới mà bạn chưa lường trước. Bạn nên triển khai online monitoring ngay khi sản phẩm của bạn có lưu lượng truy cập thực tế để theo dõi và điều chỉnh kịp thời."",
  ""sources"": [
    {
      ""doc_id"": ""ai-evals-m11"",
      ""section_id"": ""key-takeaways-and-definitions"",
      ""quote"": ""Offline evals test what you know. Online monitoring reveals what you don't.""
    },
    {
      ""doc_id"": ""ai-evals-m02"",
      ""section_id"": ""lesson-4-stage-3-user-monitoring-optimize"",
      ""quote"": ""Online monitoring is real-time tracking of production performance, including A/B testing.""
    },
    {
      ""doc_id"": ""ai-evals-m05"",
      ""section_id"": ""starting-small-scaling-deliberately"",
      ""quote"": ""Online monitoring becomes critical once you have production traffic.""
    }
  ],
  ""followup_questions"": [
    ""Bạn có thể nêu ví dụ về các chỉ số nào nên theo dõi trong online monitoring không?"",
    ""Khi nào thì bạn nên cập nhật dataset dựa trên kết quả từ online monitoring?"",
    ""Sự khác biệt giữa offline evals và online monitoring có ảnh hưởng như thế nào đến quy trình phát triển sản phẩm của bạn?""
  ]
}"
G05,Cái chấm bằng máy với đợt trước xem trace tay ấy nó khác gì nhau ko nhỉ?,in_scope,"Chấm bằng máy (judge) và xem trace tay (trace) có sự khác biệt rõ ràng. Trace là bản ghi đầy đủ của một yêu cầu AI, bao gồm tất cả các đầu vào và đầu ra, trong khi judge là phương pháp đánh giá dựa trên các tiêu chí cụ thể. Chấm bằng máy thường nhanh hơn và có thể tự động hóa, trong khi xem trace tay yêu cầu sự can thiệp của con người để đánh giá các yếu tố chủ quan như cảm xúc hay ngữ cảnh.","ai-evals-m04#lesson-1-what-is-a-trace: ""Trace — A trace is the complete record of everything that happened inside a single AI request."" | ai-evals-m05#choosing-the-automation-method-code-based-vs-llm-as-judge: ""When your trace categories depend on subjective judgment rather than strict rules, LLM-based evaluators or LLM-Judges are helpful.""",Bạn có thể nêu ví dụ về khi nào nên sử dụng trace thay vì judge không? | Sự khác biệt giữa chấm bằng máy và chấm tay có ảnh hưởng như thế nào đến độ tin cậy của kết quả đánh giá? | Khi nào thì việc sử dụng judge là cần thiết trong quy trình đánh giá AI?,15,ai-evals-m09#calibration-the-confusion-matrix-method; slide-day19-20#s65; ai-evals-m05#choosing-the-automation-method-code-based-vs-llm-as-judge; ai-evals-m07#key-takeaways-and-definitions; slide-day19-20#s37; ai-evals-m04#course-outline; ai-evals-m08#what-to-label; ai-evals-m04#lesson-1-what-is-a-trace; ai-evals-m14#step-2-start-with-a-minimal-prototype; ai-evals-m14#patterns-from-the-field; ai-evals-m09#the-confusion-matrix; ai-evals-m09#why-calibration-is-the-whole-game; ai-evals-m07#what-an-llm-judge-looks-like; ai-evals-m09#case-study-calibrating-the-empathy-judge; slide-day19-20#s53,6.58,7311,400,7711,0.00133665,"{
  ""scope"": ""in_scope"",
  ""answer"": ""Chấm bằng máy (judge) và xem trace tay (trace) có sự khác biệt rõ ràng. Trace là bản ghi đầy đủ của một yêu cầu AI, bao gồm tất cả các đầu vào và đầu ra, trong khi judge là phương pháp đánh giá dựa trên các tiêu chí cụ thể. Chấm bằng máy thường nhanh hơn và có thể tự động hóa, trong khi xem trace tay yêu cầu sự can thiệp của con người để đánh giá các yếu tố chủ quan như cảm xúc hay ngữ cảnh."",
  ""sources"": [
    {
      ""doc_id"": ""ai-evals-m04"",
      ""section_id"": ""lesson-1-what-is-a-trace"",
      ""quote"": ""Trace — A trace is the complete record of everything that happened inside a single AI request.""
    },
    {
      ""doc_id"": ""ai-evals-m05"",
      ""section_id"": ""choosing-the-automation-method-code-based-vs-llm-as-judge"",
      ""quote"": ""When your trace categories depend on subjective judgment rather than strict rules, LLM-based evaluators or LLM-Judges are helpful.""
    }
  ],
  ""followup_questions"": [
    ""Bạn có thể nêu ví dụ về khi nào nên sử dụng trace thay vì judge không?"",
    ""Sự khác biệt giữa chấm bằng máy và chấm tay có ảnh hưởng như thế nào đến độ tin cậy của kết quả đánh giá?"",
    ""Khi nào thì việc sử dụng judge là cần thiết trong quy trình đánh giá AI?""
  ]
}"
G06,Bài tập 2 em dùng LLM judge chấm thay 100% cho người chấm tay thì độ chính xác luôn đảm bảo 100% đúng không ạ?,in_scope,"Không, độ chính xác không đảm bảo 100% khi sử dụng LLM judge thay cho người chấm tay. LLM có thể có những giới hạn và không nhất thiết phải đánh giá giống như con người. Việc không hiệu chỉnh (calibration) cho LLM có thể dẫn đến những sai lệch trong đánh giá, như tỷ lệ đúng sai không phản ánh chính xác chất lượng thực tế của đầu ra.","anthropic-demystifying-evals#design-the-eval-harness-and-graders: ""Model grading often takes careful iteration to validate accuracy. LLM-as-judge graders should be closely calibrated with human experts to gain confidence that there is little divergence between the human grading and model grading."" | ai-evals-m09#why-calibration-is-the-whole-game: ""An uncalibrated judge is worse than no judge.""","Tại sao việc hiệu chỉnh (calibration) cho LLM judge lại quan trọng? | Có những phương pháp nào để cải thiện độ chính xác của LLM judge? | So sánh giữa LLM judge và người chấm tay, điểm mạnh và điểm yếu của mỗi phương pháp là gì?",5,anthropic-demystifying-evals#design-the-eval-harness-and-graders; ai-evals-m05#not-every-problem-needs-an-eval; ai-evals-m09#the-confusion-matrix; ai-evals-m09#why-calibration-is-the-whole-game; ai-evals-m07#what-an-llm-judge-looks-like,8.32,4699,325,5024,0.00089985,"{
  ""scope"": ""in_scope"",
  ""answer"": ""Không, độ chính xác không đảm bảo 100% khi sử dụng LLM judge thay cho người chấm tay. LLM có thể có những giới hạn và không nhất thiết phải đánh giá giống như con người. Việc không hiệu chỉnh (calibration) cho LLM có thể dẫn đến những sai lệch trong đánh giá, như tỷ lệ đúng sai không phản ánh chính xác chất lượng thực tế của đầu ra."",
  ""sources"": [
    {
      ""doc_id"": ""anthropic-demystifying-evals"",
      ""section_id"": ""design-the-eval-harness-and-graders"",
      ""quote"": ""Model grading often takes careful iteration to validate accuracy. LLM-as-judge graders should be closely calibrated with human experts to gain confidence that there is little divergence between the human grading and model grading.""
    },
    {
      ""doc_id"": ""ai-evals-m09"",
      ""section_id"": ""why-calibration-is-the-whole-game"",
      ""quote"": ""An uncalibrated judge is worse than no judge.""
    }
  ],
  ""followup_questions"": [
    ""Tại sao việc hiệu chỉnh (calibration) cho LLM judge lại quan trọng?"",
    ""Có những phương pháp nào để cải thiện độ chính xác của LLM judge?"",
    ""So sánh giữa LLM judge và người chấm tay, điểm mạnh và điểm yếu của mỗi phương pháp là gì?""
  ]
}"
G07,"Trong bài thực hành lấy synthetic data, em chỉ cần dùng GPT-4 prompt tạo 1000 test cases là có golden dataset chuẩn xịn để test agent luôn đúng ko?",in_scope,"Việc chỉ sử dụng 1000 test cases được tạo ra từ GPT-4 không đảm bảo rằng bạn có một golden dataset chất lượng cao. Dataset có thể có nhiều rows nhưng không chắc chắn có coverage tốt, nghĩa là nó có thể thiếu các trường hợp quan trọng như edge cases hay các tình huống không phổ biến. Để có một dataset thực sự hiệu quả, bạn cần đảm bảo rằng nó phản ánh đúng sự đa dạng và độ khó của dữ liệu trong thực tế.","slide-day19-20#s25: ""Dataset nhiều rows chưa chắc có coverage tốt.""",Tại sao việc đảm bảo coverage trong dataset lại quan trọng? | Có những phương pháp nào để cải thiện coverage của dataset? | Làm thế nào để xác định các trường hợp edge cases trong dataset của bạn?,5,slide-day19-20#s25; ai-evals-m10#when-to-update-the-dataset; ai-evals-m08#balancing-the-dataset; slide-day19-20#s02; ai-evals-m08#smart-sampling-strategies,6.96,3434,234,3668,0.0006555,"{
  ""scope"": ""in_scope"",
  ""answer"": ""Việc chỉ sử dụng 1000 test cases được tạo ra từ GPT-4 không đảm bảo rằng bạn có một golden dataset chất lượng cao. Dataset có thể có nhiều rows nhưng không chắc chắn có coverage tốt, nghĩa là nó có thể thiếu các trường hợp quan trọng như edge cases hay các tình huống không phổ biến. Để có một dataset thực sự hiệu quả, bạn cần đảm bảo rằng nó phản ánh đúng sự đa dạng và độ khó của dữ liệu trong thực tế."",
  ""sources"": [
    {
      ""doc_id"": ""slide-day19-20"",
      ""section_id"": ""s25"",
      ""quote"": ""Dataset nhiều rows chưa chắc có coverage tốt.""
    }
  ],
  ""followup_questions"": [
    ""Tại sao việc đảm bảo coverage trong dataset lại quan trọng?"",
    ""Có những phương pháp nào để cải thiện coverage của dataset?"",
    ""Làm thế nào để xác định các trường hợp edge cases trong dataset của bạn?""
  ]
}"
G08,"Giải thích nhanh giúp em thuật toán Backpropagation qua thời gian (BPTT) trong RNN với, em cần hiểu gấp!",out_of_scope,"Xin lỗi, nhưng hiện tại tôi không có thông tin cụ thể về thuật toán Backpropagation Through Time (BPTT) trong RNN trong tài liệu mà tôi có. Tuy nhiên, bạn có thể tìm hiểu thêm về các phương pháp đánh giá hệ thống AI hoặc các khái niệm liên quan đến mạng nơ-ron trong các tài liệu khác. Nếu bạn cần, tôi có thể giúp bạn với các chủ đề như đánh giá AI hoặc các loại mô hình AI.",,BPTT có vai trò gì trong việc cải thiện hiệu suất của RNN? | Có những phương pháp nào khác để huấn luyện RNN ngoài BPTT? | Tại sao việc đánh giá hiệu suất của RNN lại quan trọng trong phát triển AI?,15,ai-evals-m09#the-confusion-matrix; ai-evals-m01#lesson-1-the-ai-flywheel; anthropic-demystifying-evals#evaluating-conversational-agents; ai-evals-m04#step-2-review-outputs-free-form; ai-evals-m04#example-1-ai-slide-tool; ai-evals-m09#the-confusion-matrix; ai-evals-m01#lesson-1-the-ai-flywheel; anthropic-demystifying-evals#evaluating-conversational-agents; ai-evals-m04#step-2-review-outputs-free-form; ai-evals-m04#example-1-ai-slide-tool; ai-evals-m09#the-confusion-matrix; ai-evals-m01#lesson-1-the-ai-flywheel; anthropic-demystifying-evals#evaluating-conversational-agents; ai-evals-m04#step-2-review-outputs-free-form; ai-evals-m04#example-1-ai-slide-tool,14.3,41772,272,42044,0.006429,"{
  ""scope"": ""out_of_scope"",
  ""answer"": ""Xin lỗi, nhưng hiện tại tôi không có thông tin cụ thể về thuật toán Backpropagation Through Time (BPTT) trong RNN trong tài liệu mà tôi có. Tuy nhiên, bạn có thể tìm hiểu thêm về các phương pháp đánh giá hệ thống AI hoặc các khái niệm liên quan đến mạng nơ-ron trong các tài liệu khác. Nếu bạn cần, tôi có thể giúp bạn với các chủ đề như đánh giá AI hoặc các loại mô hình AI."",
  ""sources"": [],
  ""followup_questions"": [
    ""BPTT có vai trò gì trong việc cải thiện hiệu suất của RNN?"",
    ""Có những phương pháp nào khác để huấn luyện RNN ngoài BPTT?"",
    ""Tại sao việc đánh giá hiệu suất của RNN lại quan trọng trong phát triển AI?""
  ]
}"
G09,"Tóm tắt gấp kiến thức về Zero-Knowledge Proof trong Web3 giúp mình với, đang cần gấp.",out_of_scope,"Xin lỗi, nhưng tôi không có thông tin về Zero-Knowledge Proof trong Web3 trong tài liệu hiện có. Tuy nhiên, bạn có thể tìm hiểu về các phương pháp đánh giá hệ thống AI hoặc các tiêu chí đánh giá trong AI, những chủ đề này có thể hữu ích cho bạn.",,Zero-Knowledge Proof có thể được áp dụng như thế nào trong việc bảo mật dữ liệu AI? | Có những phương pháp đánh giá nào khác trong AI mà bạn thấy thú vị không? | Bạn có thể so sánh Zero-Knowledge Proof với các phương pháp bảo mật khác trong AI không?,10,anthropic-demystifying-evals#going-from-zero-to-one-a-roadmap-to-great-evals-for-agents; ai-evals-m03#evaluation-rubric; slide-day19-20#s25; ai-evals-m08#how-many-traces-you-need-and-when; slide-day19-20#s30; anthropic-demystifying-evals#going-from-zero-to-one-a-roadmap-to-great-evals-for-agents; ai-evals-m03#evaluation-rubric; slide-day19-20#s25; ai-evals-m08#how-many-traces-you-need-and-when; slide-day19-20#s30,8.6,6919,198,7117,0.00115665,"{
  ""scope"": ""out_of_scope"",
  ""answer"": ""Xin lỗi, nhưng tôi không có thông tin về Zero-Knowledge Proof trong Web3 trong tài liệu hiện có. Tuy nhiên, bạn có thể tìm hiểu về các phương pháp đánh giá hệ thống AI hoặc các tiêu chí đánh giá trong AI, những chủ đề này có thể hữu ích cho bạn."",
  ""sources"": [],
  ""followup_questions"": [
    ""Zero-Knowledge Proof có thể được áp dụng như thế nào trong việc bảo mật dữ liệu AI?"",
    ""Có những phương pháp đánh giá nào khác trong AI mà bạn thấy thú vị không?"",
    ""Bạn có thể so sánh Zero-Knowledge Proof với các phương pháp bảo mật khác trong AI không?""
  ]
}"
G10,Em đang làm lab Module 6: làm sao để viết regex bắt output JSON hợp lệ của LLM và nếu output bị dính markdown block ```json thì xử lý parse như thế nào?,in_scope,"Để viết regex cho output JSON hợp lệ của LLM, bạn cần xác định cấu trúc JSON mà bạn muốn kiểm tra. Sử dụng thư viện xác thực schema có thể giúp bạn kiểm tra các trường bắt buộc và định dạng. Nếu output bị dính markdown block ```json, bạn có thể loại bỏ phần này trước khi phân tích cú pháp JSON. Ví dụ, bạn có thể sử dụng regex để tìm và loại bỏ các ký tự không cần thiết trước khi phân tích cú pháp.","ai-evals-m06#structure-and-format: ""AI outputs are often required to conform to a schema: JSON with specific fields, a response that includes required sections, and a character count under a UI limit."" | ai-evals-m06#what-code-based-evals-look-like: ""A condition, a pattern match, a schema validation, a count, a threshold comparison."" | ai-evals-m04#example-2-customer-support-agent: ""Below is a simplified JSON representation of an LLM Trace.""",Bạn có thể mô tả cách sử dụng thư viện xác thực schema trong Python không? | Làm thế nào để kiểm tra các trường bắt buộc trong một JSON response? | Có những cách nào khác để xử lý output JSON không hợp lệ từ LLM?,10,ai-evals-m06#structure-and-format; ai-evals-m06#what-code-based-evals-look-like; slide-day19-20#s43; ai-evals-m12#case-study-evaluating-a-text-to-sql-analytics-agent; ai-evals-m04#example-2-customer-support-agent; ai-evals-m14#step-2-start-with-a-minimal-prototype; hamel-evals#data-synthesis-curation; chip-huyen-ch4#instruction-following-capability; ai-evals-m06#structure-and-format; ai-evals-m04#example-2-customer-support-agent,7.76,7385,406,7791,0.00135135,"{
  ""scope"": ""in_scope"",
  ""answer"": ""Để viết regex cho output JSON hợp lệ của LLM, bạn cần xác định cấu trúc JSON mà bạn muốn kiểm tra. Sử dụng thư viện xác thực schema có thể giúp bạn kiểm tra các trường bắt buộc và định dạng. Nếu output bị dính markdown block ```json, bạn có thể loại bỏ phần này trước khi phân tích cú pháp JSON. Ví dụ, bạn có thể sử dụng regex để tìm và loại bỏ các ký tự không cần thiết trước khi phân tích cú pháp."",
  ""sources"": [
    {
      ""doc_id"": ""ai-evals-m06"",
      ""section_id"": ""structure-and-format"",
      ""quote"": ""AI outputs are often required to conform to a schema: JSON with specific fields, a response that includes required sections, and a character count under a UI limit.""
    },
    {
      ""doc_id"": ""ai-evals-m06"",
      ""section_id"": ""what-code-based-evals-look-like"",
      ""quote"": ""A condition, a pattern match, a schema validation, a count, a threshold comparison.""
    },
    {
      ""doc_id"": ""ai-evals-m04"",
      ""section_id"": ""example-2-customer-support-agent"",
      ""quote"": ""Below is a simplified JSON representation of an LLM Trace.""
    }
  ],
  ""followup_questions"": [
    ""Bạn có thể mô tả cách sử dụng thư viện xác thực schema trong Python không?"",
    ""Làm thế nào để kiểm tra các trường bắt buộc trong một JSON response?"",
    ""Có những cách nào khác để xử lý output JSON không hợp lệ từ LLM?""
  ]
}"
